ID,Category,Years_Experience,Skills,Resume
RES0464,Mechanical Engineer,7,Thermodynamics; MATLAB; Project Management; Quality Control; Six Sigma,"Mechanical Engineer specialist with 7 years in the industry, holding a B.Com from State University. Core competencies include Thermodynamics, MATLAB, Project Management, Quality Control, Six Sigma. Led initiatives using Six Sigma that improved key metrics, and collaborated cross-functionally leveraging Thermodynamics. Passionate about continuous learning and staying current with industry trends. Certifications: Google Certification."
RES0010,Data Science,4,Python; A/B Testing; Pandas; TensorFlow; Machine Learning; Statistics; SQL; NumPy; Excel,"Motivated Data Science candidate (4 years experience, BCA, Institute of Technology) proficient in Python, A/B Testing, Pandas, TensorFlow, Machine Learning, Statistics, SQL, NumPy, Excel. Hands-on experience building solutions with NumPy and Python. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: None."
RES0483,Civil Engineer,11,Revit; Structural Analysis; Cost Estimation; AutoCAD; Construction Management; Project Management,"Motivated Civil Engineer candidate (11 years experience, M.Tech, Metropolitan University) proficient in Revit, Structural Analysis, Cost Estimation, AutoCAD, Construction Management, Project Management. Hands-on experience building solutions with AutoCAD and Revit. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Microsoft Certified."
RES0201,DevOps Engineer,5,Shell Scripting; Git; CI/CD; Terraform; Ansible; AWS; Linux,"Result-driven DevOps Engineer professional with 5 years of experience. Skilled in Shell Scripting, Git, CI/CD, Terraform, Ansible, AWS, Linux. Completed B.Sc from Technical Institute. Worked on projects involving Git and Ansible, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Microsoft Certified."
RES0140,Java Developer,3,Git; JUnit; REST API; Microservices; Java; Hibernate,"Motivated Java Developer candidate (3 years experience, B.Com, National College) proficient in Git, JUnit, REST API, Microservices, Java, Hibernate. Hands-on experience building solutions with JUnit and REST API. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Microsoft Certified."
RES0357,Digital Marketing,10,Email Marketing; Social Media; SEO; Excel; Copywriting; PPC; Google Analytics; Content Marketing; Communication,"Result-driven Digital Marketing professional with 10 years of experience. Skilled in Email Marketing, Social Media, SEO, Excel, Copywriting, PPC, Google Analytics, Content Marketing, Communication. Completed B.Tech from National College. Worked on projects involving Excel and Email Marketing, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Google Certification."
RES0318,Business Analyst,11,Process Improvement; Power BI; Requirements Gathering; Stakeholder Management; Tableau; Data Visualization,"Business Analyst specialist with 11 years in the industry, holding a B.Tech from Metropolitan University. Core competencies include Process Improvement, Power BI, Requirements Gathering, Stakeholder Management, Tableau, Data Visualization. Led initiatives using Stakeholder Management that improved key metrics, and collaborated cross-functionally leveraging Data Visualization. Passionate about continuous learning and staying current with industry trends. Certifications: None."
RES0091,Android Development,6,Android SDK; REST API; Java; Kotlin; Git,"Android Development specialist with 6 years in the industry, holding a B.Com from State University. Core competencies include Android SDK, REST API, Java, Kotlin, Git. Led initiatives using Android SDK that improved key metrics, and collaborated cross-functionally leveraging Kotlin. Passionate about continuous learning and staying current with industry trends. Certifications: PMP."
RES0145,Java Developer,3,Spring Boot; Java; REST API; SQL; Maven; Microservices,"Result-driven Java Developer professional with 3 years of experience. Skilled in Spring Boot, Java, REST API, SQL, Maven, Microservices. Completed B.E. from National College. Worked on projects involving Maven and REST API, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Google Certification."
RES0034,Data Science,8,Pandas; Statistics; Tableau; Scikit-learn; Machine Learning; Python; SQL; TensorFlow; A/B Testing,"Result-driven Data Science professional with 8 years of experience. Skilled in Pandas, Statistics, Tableau, Scikit-learn, Machine Learning, Python, SQL, TensorFlow, A/B Testing. Completed B.Com from City College. Worked on projects involving Scikit-learn and Python, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: PMP."
RES0335,Digital Marketing,5,Copywriting; PPC; Marketing Strategy; Social Media; Google Analytics; SEO,"Digital Marketing specialist with 5 years in the industry, holding a M.Tech from Institute of Technology. Core competencies include Copywriting, PPC, Marketing Strategy, Social Media, Google Analytics, SEO. Led initiatives using SEO that improved key metrics, and collaborated cross-functionally leveraging Social Media. Passionate about continuous learning and staying current with industry trends. Certifications: AWS Certified Associate."
RES0280,Network Security Engineer,9,Network Protocols; Firewalls; Cryptography; Python; Penetration Testing,"Motivated Network Security Engineer candidate (9 years experience, M.Tech, Institute of Technology) proficient in Network Protocols, Firewalls, Cryptography, Python, Penetration Testing. Hands-on experience building solutions with Firewalls and Penetration Testing. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: AWS Certified Associate."
RES0554,Graphic Designer,9,Typography; InDesign; Branding; Creativity; Figma; Illustrator; UI/UX; Communication; Photoshop,"Motivated Graphic Designer candidate (9 years experience, B.Com, Metropolitan University) proficient in Typography, InDesign, Branding, Creativity, Figma, Illustrator, UI/UX, Communication, Photoshop. Hands-on experience building solutions with Photoshop and Branding. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Coursera Professional Certificate."
RES0461,Mechanical Engineer,2,AutoCAD; SolidWorks; MATLAB; Manufacturing; Quality Control,"Motivated Mechanical Engineer candidate (2 years experience, B.Sc, Institute of Technology) proficient in AutoCAD, SolidWorks, MATLAB, Manufacturing, Quality Control. Hands-on experience building solutions with Manufacturing and Quality Control. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: None."
RES0254,Network Security Engineer,12,Network Protocols; Firewalls; IDS/IPS; Risk Assessment; SIEM,"Result-driven Network Security Engineer professional with 12 years of experience. Skilled in Network Protocols, Firewalls, IDS/IPS, Risk Assessment, SIEM. Completed M.Tech from Institute of Technology. Worked on projects involving Network Protocols and Firewalls, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: None."
RES0096,Android Development,8,Kotlin; Jetpack Compose; MVVM; Java; Firebase; Material Design; Android SDK; REST API,"Android Development specialist with 8 years in the industry, holding a B.Tech from Technical Institute. Core competencies include Kotlin, Jetpack Compose, MVVM, Java, Firebase, Material Design, Android SDK, REST API. Led initiatives using Material Design that improved key metrics, and collaborated cross-functionally leveraging REST API. Passionate about continuous learning and staying current with industry trends. Certifications: Coursera Professional Certificate."
RES0434,Sales,12,Negotiation; Cold Calling; Lead Generation; Excel; Client Relationship Management; CRM; Sales Strategy,"Result-driven Sales professional with 12 years of experience. Skilled in Negotiation, Cold Calling, Lead Generation, Excel, Client Relationship Management, CRM, Sales Strategy. Completed BCA from Technical Institute. Worked on projects involving Negotiation and Lead Generation, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: PMP."
RES0442,Mechanical Engineer,12,Project Management; MATLAB; Quality Control; SolidWorks; Manufacturing; AutoCAD; Thermodynamics,"Result-driven Mechanical Engineer professional with 12 years of experience. Skilled in Project Management, MATLAB, Quality Control, SolidWorks, Manufacturing, AutoCAD, Thermodynamics. Completed M.Sc from City College. Worked on projects involving Thermodynamics and Quality Control, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: None."
RES0583,Health and Fitness,5,Nutrition Planning; Client Assessment; CPR Certified; First Aid; Exercise Physiology; Communication,"Motivated Health and Fitness candidate (5 years experience, B.E., State University) proficient in Nutrition Planning, Client Assessment, CPR Certified, First Aid, Exercise Physiology, Communication. Hands-on experience building solutions with Nutrition Planning and First Aid. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: None."
RES0093,Android Development,9,SQLite; Jetpack Compose; Kotlin; Java; Android SDK,"Motivated Android Development candidate (9 years experience, B.E., State University) proficient in SQLite, Jetpack Compose, Kotlin, Java, Android SDK. Hands-on experience building solutions with Jetpack Compose and Kotlin. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Microsoft Certified."
RES0537,Graphic Designer,12,Communication; Illustrator; Typography; Creativity; UI/UX,"Graphic Designer specialist with 12 years in the industry, holding a MBA from City College. Core competencies include Communication, Illustrator, Typography, Creativity, UI/UX. Led initiatives using Typography that improved key metrics, and collaborated cross-functionally leveraging Communication. Passionate about continuous learning and staying current with industry trends. Certifications: Coursera Professional Certificate."
RES0188,Python Developer,8,Unit Testing; Flask; SQL; Django; REST API,"Python Developer specialist with 8 years in the industry, holding a M.Sc from National College. Core competencies include Unit Testing, Flask, SQL, Django, REST API. Led initiatives using SQL that improved key metrics, and collaborated cross-functionally leveraging Django. Passionate about continuous learning and staying current with industry trends. Certifications: Coursera Professional Certificate."
RES0493,Civil Engineer,8,AutoCAD; Surveying; Cost Estimation; Project Management; Construction Management,"Result-driven Civil Engineer professional with 8 years of experience. Skilled in AutoCAD, Surveying, Cost Estimation, Project Management, Construction Management. Completed M.Tech from Metropolitan University. Worked on projects involving Surveying and Cost Estimation, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Coursera Professional Certificate."
RES0138,Java Developer,10,JUnit; Microservices; Multithreading; Maven; REST API; Java; Spring Boot; SQL,"Java Developer specialist with 10 years in the industry, holding a B.Sc from Metropolitan University. Core competencies include JUnit, Microservices, Multithreading, Maven, REST API, Java, Spring Boot, SQL. Led initiatives using SQL that improved key metrics, and collaborated cross-functionally leveraging Java. Passionate about continuous learning and staying current with industry trends. Certifications: Microsoft Certified."
RES0141,Java Developer,9,JUnit; Hibernate; Multithreading; Spring Boot; Git,"Result-driven Java Developer professional with 9 years of experience. Skilled in JUnit, Hibernate, Multithreading, Spring Boot, Git. Completed MBA from Technical Institute. Worked on projects involving JUnit and Git, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Coursera Professional Certificate."
RES0489,Civil Engineer,7,Structural Analysis; Construction Management; Cost Estimation; Project Management; Revit; AutoCAD,"Motivated Civil Engineer candidate (7 years experience, M.Tech, Technical Institute) proficient in Structural Analysis, Construction Management, Cost Estimation, Project Management, Revit, AutoCAD. Hands-on experience building solutions with Structural Analysis and Construction Management. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Coursera Professional Certificate."
RES0269,Network Security Engineer,10,Linux; Network Protocols; Firewalls; Penetration Testing; Vulnerability Assessment; IDS/IPS; Python,"Motivated Network Security Engineer candidate (10 years experience, MBA, Technical Institute) proficient in Linux, Network Protocols, Firewalls, Penetration Testing, Vulnerability Assessment, IDS/IPS, Python. Hands-on experience building solutions with Penetration Testing and Vulnerability Assessment. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Google Certification."
RES0593,Health and Fitness,11,CPR Certified; Client Assessment; Program Design; Exercise Physiology; Nutrition Planning; Communication; First Aid,"Result-driven Health and Fitness professional with 11 years of experience. Skilled in CPR Certified, Client Assessment, Program Design, Exercise Physiology, Nutrition Planning, Communication, First Aid. Completed M.Sc from City College. Worked on projects involving CPR Certified and Exercise Physiology, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Microsoft Certified."
RES0496,Civil Engineer,3,Structural Analysis; Revit; Construction Management; Project Management; Cost Estimation,"Result-driven Civil Engineer professional with 3 years of experience. Skilled in Structural Analysis, Revit, Construction Management, Project Management, Cost Estimation. Completed MBA from Institute of Technology. Worked on projects involving Structural Analysis and Construction Management, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Google Certification."
RES0056,Web Development,2,Express.js; TypeScript; Node.js; CSS; Git; MongoDB; JavaScript; REST API; React,"Result-driven Web Development professional with 2 years of experience. Skilled in Express.js, TypeScript, Node.js, CSS, Git, MongoDB, JavaScript, REST API, React. Completed M.Sc from State University. Worked on projects involving React and Node.js, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: AWS Certified Associate."
RES0418,Sales,9,Sales Strategy; CRM; Client Relationship Management; Cold Calling; Communication; Excel,"Motivated Sales candidate (9 years experience, MBA, Metropolitan University) proficient in Sales Strategy, CRM, Client Relationship Management, Cold Calling, Communication, Excel. Hands-on experience building solutions with Communication and CRM. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Google Certification."
RES0355,Digital Marketing,1,Google Analytics; Content Marketing; Communication; Email Marketing; Social Media,"Motivated Digital Marketing candidate (1 years experience, B.Sc, National College) proficient in Google Analytics, Content Marketing, Communication, Email Marketing, Social Media. Hands-on experience building solutions with Content Marketing and Communication. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Coursera Professional Certificate."
RES0467,Mechanical Engineer,12,AutoCAD; Thermodynamics; Manufacturing; Six Sigma; SolidWorks; Project Management; Quality Control,"Mechanical Engineer specialist with 12 years in the industry, holding a M.Sc from National College. Core competencies include AutoCAD, Thermodynamics, Manufacturing, Six Sigma, SolidWorks, Project Management, Quality Control. Led initiatives using Thermodynamics that improved key metrics, and collaborated cross-functionally leveraging SolidWorks. Passionate about continuous learning and staying current with industry trends. Certifications: AWS Certified Associate."
RES0533,Graphic Designer,12,Photoshop; Communication; Creativity; Figma; InDesign; Typography; Illustrator; UI/UX; Branding,"Motivated Graphic Designer candidate (12 years experience, B.Sc, Technical Institute) proficient in Photoshop, Communication, Creativity, Figma, InDesign, Typography, Illustrator, UI/UX, Branding. Hands-on experience building solutions with Figma and Branding. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Google Certification."
RES0059,Web Development,3,CSS; React; Responsive Design; Git; Node.js; MongoDB; REST API,"Motivated Web Development candidate (3 years experience, B.Com, Metropolitan University) proficient in CSS, React, Responsive Design, Git, Node.js, MongoDB, REST API. Hands-on experience building solutions with Git and REST API. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: AWS Certified Associate."
RES0029,Data Science,0,Statistics; NumPy; Python; Machine Learning; SQL; Excel,"Result-driven Data Science professional with 0 years of experience. Skilled in Statistics, NumPy, Python, Machine Learning, SQL, Excel. Completed MBA from Institute of Technology. Worked on projects involving Excel and NumPy, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: None."
RES0046,Web Development,0,REST API; Git; Node.js; TypeScript; JavaScript; HTML; React,"Result-driven Web Development professional with 0 years of experience. Skilled in REST API, Git, Node.js, TypeScript, JavaScript, HTML, React. Completed B.Com from State University. Worked on projects involving Node.js and Git, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: None."
RES0576,Health and Fitness,6,Program Design; CPR Certified; Nutrition Planning; Communication; Exercise Physiology; Client Assessment; First Aid,"Result-driven Health and Fitness professional with 6 years of experience. Skilled in Program Design, CPR Certified, Nutrition Planning, Communication, Exercise Physiology, Client Assessment, First Aid. Completed MBA from Institute of Technology. Worked on projects involving Exercise Physiology and Program Design, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Microsoft Certified."
RES0422,Sales,2,CRM; Excel; Communication; Cold Calling; Sales Strategy; Lead Generation; Client Relationship Management,"Result-driven Sales professional with 2 years of experience. Skilled in CRM, Excel, Communication, Cold Calling, Sales Strategy, Lead Generation, Client Relationship Management. Completed BCA from Metropolitan University. Worked on projects involving Cold Calling and Excel, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Google Certification."
RES0363,HR,3,Employee Engagement; HRIS; Performance Management; Communication; Onboarding; Excel; Conflict Resolution,"Motivated HR candidate (3 years experience, M.Sc, Institute of Technology) proficient in Employee Engagement, HRIS, Performance Management, Communication, Onboarding, Excel, Conflict Resolution. Hands-on experience building solutions with HRIS and Conflict Resolution. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Google Certification."
RES0408,Sales,12,Sales Strategy; Lead Generation; Negotiation; Communication; Client Relationship Management,"Sales specialist with 12 years in the industry, holding a B.E. from Institute of Technology. Core competencies include Sales Strategy, Lead Generation, Negotiation, Communication, Client Relationship Management. Led initiatives using Communication that improved key metrics, and collaborated cross-functionally leveraging Lead Generation. Passionate about continuous learning and staying current with industry trends. Certifications: PMP."
RES0090,Android Development,2,Android SDK; Jetpack Compose; REST API; Material Design; Kotlin; Java; SQLite,"Android Development specialist with 2 years in the industry, holding a B.Tech from National College. Core competencies include Android SDK, Jetpack Compose, REST API, Material Design, Kotlin, Java, SQLite. Led initiatives using SQLite that improved key metrics, and collaborated cross-functionally leveraging Jetpack Compose. Passionate about continuous learning and staying current with industry trends. Certifications: Microsoft Certified."
RES0170,Python Developer,11,SQL; Django; Python; Celery; Flask,"Result-driven Python Developer professional with 11 years of experience. Skilled in SQL, Django, Python, Celery, Flask. Completed B.Sc from Technical Institute. Worked on projects involving SQL and Flask, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: PMP."
RES0365,HR,12,Performance Management; Employee Engagement; Payroll; Excel; Conflict Resolution; HRIS; Recruitment,"Motivated HR candidate (12 years experience, B.E., State University) proficient in Performance Management, Employee Engagement, Payroll, Excel, Conflict Resolution, HRIS, Recruitment. Hands-on experience building solutions with Conflict Resolution and Excel. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: PMP."
RES0412,Sales,3,Client Relationship Management; Communication; Sales Strategy; Negotiation; Lead Generation,"Sales specialist with 3 years in the industry, holding a B.Com from Institute of Technology. Core competencies include Client Relationship Management, Communication, Sales Strategy, Negotiation, Lead Generation. Led initiatives using Communication that improved key metrics, and collaborated cross-functionally leveraging Sales Strategy. Passionate about continuous learning and staying current with industry trends. Certifications: Microsoft Certified."
RES0183,Python Developer,8,Celery; SQL; Flask; Python; Docker,"Result-driven Python Developer professional with 8 years of experience. Skilled in Celery, SQL, Flask, Python, Docker. Completed BCA from National College. Worked on projects involving SQL and Docker, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: AWS Certified Associate."
RES0307,Business Analyst,6,Tableau; SQL; Agile; Communication; Power BI; Excel; Stakeholder Management; Process Improvement,"Motivated Business Analyst candidate (6 years experience, B.Tech, Technical Institute) proficient in Tableau, SQL, Agile, Communication, Power BI, Excel, Stakeholder Management, Process Improvement. Hands-on experience building solutions with Tableau and Stakeholder Management. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Coursera Professional Certificate."
RES0293,Business Analyst,5,Process Improvement; Communication; Tableau; Requirements Gathering; Agile; SQL; Data Visualization; Stakeholder Management,"Result-driven Business Analyst professional with 5 years of experience. Skilled in Process Improvement, Communication, Tableau, Requirements Gathering, Agile, SQL, Data Visualization, Stakeholder Management. Completed M.Tech from Institute of Technology. Worked on projects involving Data Visualization and Process Improvement, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Google Certification."
RES0018,Data Science,4,Scikit-learn; TensorFlow; Data Visualization; NumPy; Statistics; Pandas,"Result-driven Data Science professional with 4 years of experience. Skilled in Scikit-learn, TensorFlow, Data Visualization, NumPy, Statistics, Pandas. Completed MCA from Institute of Technology. Worked on projects involving Scikit-learn and NumPy, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Microsoft Certified."
RES0474,Mechanical Engineer,3,SolidWorks; Quality Control; AutoCAD; Manufacturing; Thermodynamics; MATLAB; Six Sigma; Project Management,"Motivated Mechanical Engineer candidate (3 years experience, B.Tech, State University) proficient in SolidWorks, Quality Control, AutoCAD, Manufacturing, Thermodynamics, MATLAB, Six Sigma, Project Management. Hands-on experience building solutions with Quality Control and SolidWorks. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Microsoft Certified."
RES0150,Java Developer,2,Java; Multithreading; JUnit; Spring Boot; Git; Hibernate; SQL; REST API; Microservices,"Java Developer specialist with 2 years in the industry, holding a B.Com from Institute of Technology. Core competencies include Java, Multithreading, JUnit, Spring Boot, Git, Hibernate, SQL, REST API, Microservices. Led initiatives using Hibernate that improved key metrics, and collaborated cross-functionally leveraging Microservices. Passionate about continuous learning and staying current with industry trends. Certifications: Google Certification."
RES0257,Network Security Engineer,0,Firewalls; Vulnerability Assessment; Linux; Cryptography; Penetration Testing; SIEM; Python; IDS/IPS,"Motivated Network Security Engineer candidate (0 years experience, B.Tech, Institute of Technology) proficient in Firewalls, Vulnerability Assessment, Linux, Cryptography, Penetration Testing, SIEM, Python, IDS/IPS. Hands-on experience building solutions with Linux and Python. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Coursera Professional Certificate."
RES0560,Graphic Designer,7,Illustrator; Creativity; Typography; Branding; InDesign; Figma,"Graphic Designer specialist with 7 years in the industry, holding a B.Sc from Institute of Technology. Core competencies include Illustrator, Creativity, Typography, Branding, InDesign, Figma. Led initiatives using InDesign that improved key metrics, and collaborated cross-functionally leveraging Illustrator. Passionate about continuous learning and staying current with industry trends. Certifications: AWS Certified Associate."
RES0451,Mechanical Engineer,1,Six Sigma; Quality Control; SolidWorks; AutoCAD; Manufacturing,"Result-driven Mechanical Engineer professional with 1 years of experience. Skilled in Six Sigma, Quality Control, SolidWorks, AutoCAD, Manufacturing. Completed MCA from National College. Worked on projects involving AutoCAD and Manufacturing, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Google Certification."
RES0454,Mechanical Engineer,6,Project Management; Quality Control; Manufacturing; SolidWorks; Six Sigma; Thermodynamics; AutoCAD; MATLAB,"Motivated Mechanical Engineer candidate (6 years experience, B.Sc, National College) proficient in Project Management, Quality Control, Manufacturing, SolidWorks, Six Sigma, Thermodynamics, AutoCAD, MATLAB. Hands-on experience building solutions with SolidWorks and AutoCAD. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: None."
RES0580,Health and Fitness,7,Nutrition Planning; First Aid; Client Assessment; Exercise Physiology; Communication,"Health and Fitness specialist with 7 years in the industry, holding a BCA from State University. Core competencies include Nutrition Planning, First Aid, Client Assessment, Exercise Physiology, Communication. Led initiatives using Exercise Physiology that improved key metrics, and collaborated cross-functionally leveraging Nutrition Planning. Passionate about continuous learning and staying current with industry trends. Certifications: PMP."
RES0356,Digital Marketing,0,Excel; Copywriting; Email Marketing; PPC; Communication,"Result-driven Digital Marketing professional with 0 years of experience. Skilled in Excel, Copywriting, Email Marketing, PPC, Communication. Completed B.E. from City College. Worked on projects involving PPC and Communication, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Coursera Professional Certificate."
RES0316,Business Analyst,10,Stakeholder Management; Power BI; Excel; Communication; Agile; Tableau; Requirements Gathering; Process Improvement; Data Visualization,"Motivated Business Analyst candidate (10 years experience, B.Tech, Institute of Technology) proficient in Stakeholder Management, Power BI, Excel, Communication, Agile, Tableau, Requirements Gathering, Process Improvement, Data Visualization. Hands-on experience building solutions with Agile and Excel. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: AWS Certified Associate."
RES0289,Business Analyst,5,Communication; Agile; Data Visualization; Process Improvement; Tableau; SQL; Excel; Stakeholder Management,"Business Analyst specialist with 5 years in the industry, holding a B.E. from National College. Core competencies include Communication, Agile, Data Visualization, Process Improvement, Tableau, SQL, Excel, Stakeholder Management. Led initiatives using Communication that improved key metrics, and collaborated cross-functionally leveraging Stakeholder Management. Passionate about continuous learning and staying current with industry trends. Certifications: PMP."
