Job_ID,Title,Category,Company,Location,Skills,Experience_Required,Salary_LPA,Description
JOB00173,Python Developer,Python Developer,White-Green,Remote,Git; SQL; Pandas; Python; Unit Testing; Docker; Celery,1-4 years,16-23,"White-Green is hiring a Python Developer for our Remote office. You will use Git, SQL, Pandas, Python, Unit Testing, Docker, Celery daily and help scale our SQL capabilities. We value strong fundamentals in Docker and a collaborative mindset. Minimum 1 years of experience in a similar role."
JOB00137,Backend Java Engineer,Java Developer,"Lewis, Kennedy and Santana",Pune,Multithreading; Microservices; SQL; Git,1-4 years,15-25,"We are looking for a Backend Java Engineer to join our growing team. The ideal candidate has hands-on experience with Multithreading, Microservices, SQL, Git and can work independently on Multithreading-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Git initiatives, and driving continuous improvement. 1+ years of relevant experience required."
JOB00512,Nutrition Consultant,Health and Fitness,"Whitney, Gould and Jones",Remote,Exercise Physiology; Program Design; CPR Certified; Communication,1-4 years,11-19,"We are looking for a Nutrition Consultant to join our growing team. The ideal candidate has hands-on experience with Exercise Physiology, Program Design, CPR Certified, Communication and can work independently on Exercise Physiology-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to CPR Certified initiatives, and driving continuous improvement. 1+ years of relevant experience required."
JOB00180,DevOps Engineer,DevOps Engineer,Howell and Sons,Delhi NCR,Terraform; CI/CD; Kubernetes; Monitoring; Shell Scripting,5-8 years,14-16,"We are looking for a DevOps Engineer to join our growing team. The ideal candidate has hands-on experience with Terraform, CI/CD, Kubernetes, Monitoring, Shell Scripting and can work independently on Kubernetes-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Terraform initiatives, and driving continuous improvement. 5+ years of relevant experience required."
JOB00497,Fitness Trainer,Health and Fitness,Blackwell LLC,Chennai,CPR Certified; Exercise Physiology; Nutrition Planning; Communication,0-3 years,6-9,"Exciting opportunity for a Fitness Trainer at Blackwell LLC. Must be proficient in CPR Certified, Exercise Physiology, Nutrition Planning, Communication, with practical exposure to Exercise Physiology and CPR Certified. You'll work in an agile environment solving real business problems. 0+ years experience preferred."
JOB00522,Wellness Coach,Health and Fitness,Holmes-Mcintyre,Noida,Nutrition Planning; CPR Certified; Exercise Physiology; Client Assessment; Communication; First Aid; Program Design,8-11 years,17-26,"We are looking for a Wellness Coach to join our growing team. The ideal candidate has hands-on experience with Nutrition Planning, CPR Certified, Exercise Physiology, Client Assessment, Communication, First Aid, Program Design and can work independently on CPR Certified-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Exercise Physiology initiatives, and driving continuous improvement. 8+ years of relevant experience required."
JOB00299,Digital Marketing Executive,Digital Marketing,"Sparks, Jackson and Miller",Ahmedabad,Excel; Copywriting; SEO; Communication,3-6 years,18-20,"We are looking for a Digital Marketing Executive to join our growing team. The ideal candidate has hands-on experience with Excel, Copywriting, SEO, Communication and can work independently on SEO-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Excel initiatives, and driving continuous improvement. 3+ years of relevant experience required."
JOB00235,Cybersecurity Analyst,Network Security Engineer,Ortiz Ltd,Noida,Vulnerability Assessment; Risk Assessment; Linux; SIEM,2-5 years,6-9,"We are looking for a Cybersecurity Analyst to join our growing team. The ideal candidate has hands-on experience with Vulnerability Assessment, Risk Assessment, Linux, SIEM and can work independently on SIEM-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Linux initiatives, and driving continuous improvement. 2+ years of relevant experience required."
JOB00456,UI/UX Designer,Graphic Designer,Diaz-Ball,Kolkata,UI/UX; Illustrator; Branding; Photoshop; Communication; Typography; Creativity; InDesign,2-5 years,13-18,"Exciting opportunity for a UI/UX Designer at Diaz-Ball. Must be proficient in UI/UX, Illustrator, Branding, Photoshop, Communication, Typography, Creativity, InDesign, with practical exposure to Creativity and Communication. You'll work in an agile environment solving real business problems. 2+ years experience preferred."
JOB00221,Cybersecurity Analyst,Network Security Engineer,Garcia-Smith,Noida,IDS/IPS; Cryptography; Risk Assessment; Network Protocols,2-5 years,15-23,"Garcia-Smith is hiring a Cybersecurity Analyst for our Noida office. You will use IDS/IPS, Cryptography, Risk Assessment, Network Protocols daily and help scale our Cryptography capabilities. We value strong fundamentals in Risk Assessment and a collaborative mindset. Minimum 2 years of experience in a similar role."
JOB00028,Data Scientist,Data Science,"Hoffman, Baker and Richards",Noida,Scikit-learn; SQL; Excel; A/B Testing; Machine Learning; NumPy; TensorFlow; Statistics,3-6 years,13-20,"Hoffman, Baker and Richards is hiring a Data Scientist for our Noida office. You will use Scikit-learn, SQL, Excel, A/B Testing, Machine Learning, NumPy, TensorFlow, Statistics daily and help scale our Machine Learning capabilities. We value strong fundamentals in Scikit-learn and a collaborative mindset. Minimum 3 years of experience in a similar role."
JOB00135,Java Developer,Java Developer,Mitchell-Jordan,Hyderabad,Spring Boot; Multithreading; Microservices; Git; Hibernate; JUnit; Java,5-8 years,14-23,"Mitchell-Jordan is hiring a Java Developer for our Hyderabad office. You will use Spring Boot, Multithreading, Microservices, Git, Hibernate, JUnit, Java daily and help scale our Java capabilities. We value strong fundamentals in Git and a collaborative mindset. Minimum 5 years of experience in a similar role."
JOB00276,Business Analyst,Business Analyst,"Burns, Hernandez and Ryan",Noida,Process Improvement; Power BI; Excel; Agile,8-11 years,16-21,"Exciting opportunity for a Business Analyst at Burns, Hernandez and Ryan. Must be proficient in Process Improvement, Power BI, Excel, Agile, with practical exposure to Process Improvement and Excel. You'll work in an agile environment solving real business problems. 8+ years experience preferred."
JOB00304,SEO Specialist,Digital Marketing,Jones LLC,Kolkata,Communication; Content Marketing; SEO; Excel; Email Marketing; Social Media; Google Analytics; Marketing Strategy,3-6 years,20-30,"Jones LLC is hiring a SEO Specialist for our Kolkata office. You will use Communication, Content Marketing, SEO, Excel, Email Marketing, Social Media, Google Analytics, Marketing Strategy daily and help scale our Email Marketing capabilities. We value strong fundamentals in Content Marketing and a collaborative mindset. Minimum 3 years of experience in a similar role."
JOB00238,Network Security Engineer,Network Security Engineer,"Hall, Baker and Moody",Remote,Linux; Penetration Testing; Vulnerability Assessment; IDS/IPS; Python; Firewalls; Cryptography; SIEM,7-10 years,12-18,"We are looking for a Network Security Engineer to join our growing team. The ideal candidate has hands-on experience with Linux, Penetration Testing, Vulnerability Assessment, IDS/IPS, Python, Firewalls, Cryptography, SIEM and can work independently on Linux-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to IDS/IPS initiatives, and driving continuous improvement. 7+ years of relevant experience required."
JOB00031,Data Scientist,Data Science,Burton Ltd,Delhi NCR,Tableau; NumPy; Machine Learning; Python; Data Visualization,5-8 years,16-26,"Exciting opportunity for a Data Scientist at Burton Ltd. Must be proficient in Tableau, NumPy, Machine Learning, Python, Data Visualization, with practical exposure to Python and Data Visualization. You'll work in an agile environment solving real business problems. 5+ years experience preferred."
JOB00362,Account Manager,Sales,Lam LLC,Remote,Client Relationship Management; Cold Calling; Sales Strategy; Lead Generation; Negotiation; Communication; Excel; CRM,5-8 years,18-23,"Lam LLC is hiring a Account Manager for our Remote office. You will use Client Relationship Management, Cold Calling, Sales Strategy, Lead Generation, Negotiation, Communication, Excel, CRM daily and help scale our Lead Generation capabilities. We value strong fundamentals in Cold Calling and a collaborative mindset. Minimum 5 years of experience in a similar role."
JOB00283,SEO Specialist,Digital Marketing,"Pollard, Simpson and Johnson",Ahmedabad,Google Analytics; Content Marketing; Social Media; Communication; SEO; PPC; Excel; Copywriting,2-5 years,17-25,"Exciting opportunity for a SEO Specialist at Pollard, Simpson and Johnson. Must be proficient in Google Analytics, Content Marketing, Social Media, Communication, SEO, PPC, Excel, Copywriting, with practical exposure to Social Media and PPC. You'll work in an agile environment solving real business problems. 2+ years experience preferred."
JOB00515,Wellness Coach,Health and Fitness,"Gregory, Kim and Martinez",Bengaluru,First Aid; Nutrition Planning; Communication; Program Design,2-5 years,18-25,"Gregory, Kim and Martinez is hiring a Wellness Coach for our Bengaluru office. You will use First Aid, Nutrition Planning, Communication, Program Design daily and help scale our Communication capabilities. We value strong fundamentals in Nutrition Planning and a collaborative mindset. Minimum 2 years of experience in a similar role."
JOB00006,Data Analyst,Data Science,"Gardner, Robinson and Lawrence",Pune,SQL; Python; Statistics; Scikit-learn; Excel; A/B Testing; Machine Learning,0-3 years,10-14,"We are looking for a Data Analyst to join our growing team. The ideal candidate has hands-on experience with SQL, Python, Statistics, Scikit-learn, Excel, A/B Testing, Machine Learning and can work independently on Scikit-learn-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to SQL initiatives, and driving continuous improvement. 0+ years of relevant experience required."
JOB00169,Backend Python Engineer,Python Developer,"Yates, Ramsey and Pittman",Mumbai,Git; Unit Testing; Flask; SQL; Django; Python; Celery,8-11 years,9-16,"Yates, Ramsey and Pittman is hiring a Backend Python Engineer for our Mumbai office. You will use Git, Unit Testing, Flask, SQL, Django, Python, Celery daily and help scale our Celery capabilities. We value strong fundamentals in Python and a collaborative mindset. Minimum 8 years of experience in a similar role."
JOB00220,Cybersecurity Analyst,Network Security Engineer,Terry-Martinez,Noida,Python; Cryptography; Penetration Testing; IDS/IPS; Vulnerability Assessment; Risk Assessment,5-8 years,13-21,"Terry-Martinez is hiring a Cybersecurity Analyst for our Noida office. You will use Python, Cryptography, Penetration Testing, IDS/IPS, Vulnerability Assessment, Risk Assessment daily and help scale our IDS/IPS capabilities. We value strong fundamentals in Cryptography and a collaborative mindset. Minimum 5 years of experience in a similar role."
JOB00242,Cybersecurity Analyst,Network Security Engineer,Larson-Holloway,Chennai,Risk Assessment; Python; Network Protocols; Penetration Testing; Linux; Vulnerability Assessment; Cryptography; Firewalls,0-3 years,13-20,"Exciting opportunity for a Cybersecurity Analyst at Larson-Holloway. Must be proficient in Risk Assessment, Python, Network Protocols, Penetration Testing, Linux, Vulnerability Assessment, Cryptography, Firewalls, with practical exposure to Python and Firewalls. You'll work in an agile environment solving real business problems. 0+ years experience preferred."
JOB00514,Nutrition Consultant,Health and Fitness,Cisneros and Sons,Pune,First Aid; Communication; Program Design; CPR Certified; Client Assessment,2-5 years,6-14,"Cisneros and Sons is hiring a Nutrition Consultant for our Pune office. You will use First Aid, Communication, Program Design, CPR Certified, Client Assessment daily and help scale our Client Assessment capabilities. We value strong fundamentals in Program Design and a collaborative mindset. Minimum 2 years of experience in a similar role."
JOB00476,Graphic Designer,Graphic Designer,Gilbert-Bullock,Bengaluru,Typography; UI/UX; Illustrator; Photoshop,8-11 years,5-10,"We are looking for a Graphic Designer to join our growing team. The ideal candidate has hands-on experience with Typography, UI/UX, Illustrator, Photoshop and can work independently on UI/UX-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Photoshop initiatives, and driving continuous improvement. 8+ years of relevant experience required."
JOB00100,Mobile App Developer,Android Development,Walsh LLC,Hyderabad,Java; Kotlin; REST API; SQLite; Firebase; Jetpack Compose; Git; Android SDK,8-11 years,7-15,"Exciting opportunity for a Mobile App Developer at Walsh LLC. Must be proficient in Java, Kotlin, REST API, SQLite, Firebase, Jetpack Compose, Git, Android SDK, with practical exposure to Android SDK and Firebase. You'll work in an agile environment solving real business problems. 8+ years experience preferred."
JOB00261,Product Analyst,Business Analyst,Wolf-Harris,Bengaluru,Communication; Excel; Requirements Gathering; Process Improvement,7-10 years,17-26,"Exciting opportunity for a Product Analyst at Wolf-Harris. Must be proficient in Communication, Excel, Requirements Gathering, Process Improvement, with practical exposure to Excel and Process Improvement. You'll work in an agile environment solving real business problems. 7+ years experience preferred."
JOB00301,Digital Marketing Executive,Digital Marketing,"Thomas, Murray and King",Hyderabad,Communication; Google Analytics; Marketing Strategy; SEO; Copywriting; Excel; PPC; Social Media,0-3 years,18-21,"Thomas, Murray and King is hiring a Digital Marketing Executive for our Hyderabad office. You will use Communication, Google Analytics, Marketing Strategy, SEO, Copywriting, Excel, PPC, Social Media daily and help scale our SEO capabilities. We value strong fundamentals in Excel and a collaborative mindset. Minimum 0 years of experience in a similar role."
JOB00407,Manufacturing Engineer,Mechanical Engineer,Berry-Mckinney,Mumbai,SolidWorks; MATLAB; Six Sigma; Thermodynamics; Project Management; Quality Control,2-5 years,11-18,"We are looking for a Manufacturing Engineer to join our growing team. The ideal candidate has hands-on experience with SolidWorks, MATLAB, Six Sigma, Thermodynamics, Project Management, Quality Control and can work independently on Project Management-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Six Sigma initiatives, and driving continuous improvement. 2+ years of relevant experience required."
JOB00136,Backend Java Engineer,Java Developer,"Lawson, Morris and Ramos",Ahmedabad,Maven; Microservices; Git; Spring Boot; Multithreading; JUnit; SQL,6-9 years,11-19,"Lawson, Morris and Ramos is hiring a Backend Java Engineer for our Ahmedabad office. You will use Maven, Microservices, Git, Spring Boot, Multithreading, JUnit, SQL daily and help scale our Multithreading capabilities. We value strong fundamentals in SQL and a collaborative mindset. Minimum 6 years of experience in a similar role."
JOB00045,Frontend Developer,Web Development,"Arroyo, Miller and Tucker",Remote,Responsive Design; Express.js; CSS; Git,4-7 years,10-15,"Arroyo, Miller and Tucker is hiring a Frontend Developer for our Remote office. You will use Responsive Design, Express.js, CSS, Git daily and help scale our Responsive Design capabilities. We value strong fundamentals in Git and a collaborative mindset. Minimum 4 years of experience in a similar role."
JOB00503,Wellness Coach,Health and Fitness,Morgan-Lopez,Remote,Client Assessment; Communication; Nutrition Planning; First Aid,2-5 years,14-22,"Morgan-Lopez is hiring a Wellness Coach for our Remote office. You will use Client Assessment, Communication, Nutrition Planning, First Aid daily and help scale our Communication capabilities. We value strong fundamentals in Client Assessment and a collaborative mindset. Minimum 2 years of experience in a similar role."
JOB00178,DevOps Engineer,DevOps Engineer,Walker-Jones,Kolkata,Linux; Monitoring; Jenkins; Terraform; Ansible; Docker; Shell Scripting,6-9 years,6-15,"Walker-Jones is hiring a DevOps Engineer for our Kolkata office. You will use Linux, Monitoring, Jenkins, Terraform, Ansible, Docker, Shell Scripting daily and help scale our Ansible capabilities. We value strong fundamentals in Jenkins and a collaborative mindset. Minimum 6 years of experience in a similar role."
JOB00525,Nutrition Consultant,Health and Fitness,Gonzalez-Taylor,Pune,Communication; Program Design; Client Assessment; CPR Certified; Exercise Physiology; Nutrition Planning,3-6 years,15-20,"Gonzalez-Taylor is hiring a Nutrition Consultant for our Pune office. You will use Communication, Program Design, Client Assessment, CPR Certified, Exercise Physiology, Nutrition Planning daily and help scale our Exercise Physiology capabilities. We value strong fundamentals in Nutrition Planning and a collaborative mindset. Minimum 3 years of experience in a similar role."
JOB00058,Web Developer,Web Development,"Johnston, Sanchez and Kennedy",Hyderabad,HTML; Git; TypeScript; CSS; Express.js; JavaScript; Node.js,8-11 years,16-25,"Johnston, Sanchez and Kennedy is hiring a Web Developer for our Hyderabad office. You will use HTML, Git, TypeScript, CSS, Express.js, JavaScript, Node.js daily and help scale our JavaScript capabilities. We value strong fundamentals in Git and a collaborative mindset. Minimum 8 years of experience in a similar role."
JOB00494,Nutrition Consultant,Health and Fitness,"Marshall, Dominguez and Welch",Ahmedabad,Communication; Nutrition Planning; CPR Certified; Program Design,4-7 years,14-23,"We are looking for a Nutrition Consultant to join our growing team. The ideal candidate has hands-on experience with Communication, Nutrition Planning, CPR Certified, Program Design and can work independently on Nutrition Planning-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to CPR Certified initiatives, and driving continuous improvement. 4+ years of relevant experience required."
JOB00302,Digital Marketing Executive,Digital Marketing,Estrada-Nolan,Chennai,Email Marketing; Social Media; Content Marketing; Communication; SEO,6-9 years,14-22,"Exciting opportunity for a Digital Marketing Executive at Estrada-Nolan. Must be proficient in Email Marketing, Social Media, Content Marketing, Communication, SEO, with practical exposure to Content Marketing and Social Media. You'll work in an agile environment solving real business problems. 6+ years experience preferred."
