Job_ID,Title,Category,Company,Location,Skills,Experience_Required,Salary_LPA,Description,parsed_skills,skills_joined,min_exp,max_exp,avg_exp,min_salary_lpa,max_salary_lpa,avg_salary_lpa,clean_description,composite_text,cluster
JOB00427,Structural Engineer,Civil Engineer,Johnson-Wood,Hyderabad,Cost Estimation; Construction Management; AutoCAD; Structural Analysis; Project Management,5-8 years,13-19,"Exciting opportunity for a Structural Engineer at Johnson-Wood. Must be proficient in Cost Estimation, Construction Management, AutoCAD, Structural Analysis, Project Management, with practical exposure to Structural Analysis and AutoCAD. You'll work in an agile environment solving real business problems. 5+ years experience preferred.","['Cost Estimation', 'Construction Management', 'AutoCAD', 'Structural Analysis', 'Project Management']",Cost Estimation Construction Management AutoCAD Structural Analysis Project Management,5.0,8.0,6.5,13.0,19.0,16.0,"exciting opportunity for a structural engineer at johnson-wood. must be proficient in cost estimation, construction management, autocad, structural analysis, project management, with practical exposure to structural analysis and autocad. you'll work in an agile environment solving real business problems. 5+ years experience preferred.","Structural Engineer exciting opportunity for a structural engineer at johnson-wood. must be proficient in cost estimation, construction management, autocad, structural analysis, project management, with practical exposure to structural analysis and autocad. you'll work in an agile environment solving real business problems. 5+ years experience preferred. Cost Estimation Construction Management AutoCAD Structural Analysis Project Management",11
JOB00264,Business Analyst,Business Analyst,"Lloyd, Mckinney and Collins",Ahmedabad,Excel; Power BI; SQL; Tableau; Stakeholder Management; Data Visualization,3-6 years,8-16,"We are looking for a Business Analyst to join our growing team. The ideal candidate has hands-on experience with Excel, Power BI, SQL, Tableau, Stakeholder Management, Data Visualization and can work independently on Data Visualization-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Excel initiatives, and driving continuous improvement. 3+ years of relevant experience required.","['Excel', 'Power BI', 'SQL', 'Tableau', 'Stakeholder Management', 'Data Visualization']",Excel Power BI SQL Tableau Stakeholder Management Data Visualization,3.0,6.0,4.5,8.0,16.0,12.0,"we are looking for a business analyst to join our growing team. the ideal candidate has hands-on experience with excel, power bi, sql, tableau, stakeholder management, data visualization and can work independently on data visualization-driven projects. responsibilities include collaborating with cross-functional teams, contributing to excel initiatives, and driving continuous improvement. 3+ years of relevant experience required.","Business Analyst we are looking for a business analyst to join our growing team. the ideal candidate has hands-on experience with excel, power bi, sql, tableau, stakeholder management, data visualization and can work independently on data visualization-driven projects. responsibilities include collaborating with cross-functional teams, contributing to excel initiatives, and driving continuous improvement. 3+ years of relevant experience required. Excel Power BI SQL Tableau Stakeholder Management Data Visualization",9
JOB00243,Cybersecurity Analyst,Network Security Engineer,Gonzales-Harrison,Noida,Cryptography; Firewalls; Network Protocols; SIEM; Risk Assessment; Vulnerability Assessment; Python; Linux,4-7 years,18-27,"We are looking for a Cybersecurity Analyst to join our growing team. The ideal candidate has hands-on experience with Cryptography, Firewalls, Network Protocols, SIEM, Risk Assessment, Vulnerability Assessment, Python, Linux and can work independently on Risk Assessment-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Python initiatives, and driving continuous improvement. 4+ years of relevant experience required.","['Cryptography', 'Firewalls', 'Network Protocols', 'SIEM', 'Risk Assessment', 'Vulnerability Assessment', 'Python', 'Linux']",Cryptography Firewalls Network Protocols SIEM Risk Assessment Vulnerability Assessment Python Linux,4.0,7.0,5.5,18.0,27.0,22.5,"we are looking for a cybersecurity analyst to join our growing team. the ideal candidate has hands-on experience with cryptography, firewalls, network protocols, siem, risk assessment, vulnerability assessment, python, linux and can work independently on risk assessment-driven projects. responsibilities include collaborating with cross-functional teams, contributing to python initiatives, and driving continuous improvement. 4+ years of relevant experience required.","Cybersecurity Analyst we are looking for a cybersecurity analyst to join our growing team. the ideal candidate has hands-on experience with cryptography, firewalls, network protocols, siem, risk assessment, vulnerability assessment, python, linux and can work independently on risk assessment-driven projects. responsibilities include collaborating with cross-functional teams, contributing to python initiatives, and driving continuous improvement. 4+ years of relevant experience required. Cryptography Firewalls Network Protocols SIEM Risk Assessment Vulnerability Assessment Python Linux",14
JOB00093,Android Developer,Android Development,"Garcia, Humphrey and Baker",Noida,Firebase; Kotlin; REST API; Git; Material Design; MVVM; Android SDK; Jetpack Compose,8-11 years,14-22,"We are looking for a Android Developer to join our growing team. The ideal candidate has hands-on experience with Firebase, Kotlin, REST API, Git, Material Design, MVVM, Android SDK, Jetpack Compose and can work independently on Android SDK-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Jetpack Compose initiatives, and driving continuous improvement. 8+ years of relevant experience required.","['Firebase', 'Kotlin', 'REST API', 'Git', 'Material Design', 'MVVM', 'Android SDK', 'Jetpack Compose']",Firebase Kotlin REST API Git Material Design MVVM Android SDK Jetpack Compose,8.0,11.0,9.5,14.0,22.0,18.0,"we are looking for a android developer to join our growing team. the ideal candidate has hands-on experience with firebase, kotlin, rest api, git, material design, mvvm, android sdk, jetpack compose and can work independently on android sdk-driven projects. responsibilities include collaborating with cross-functional teams, contributing to jetpack compose initiatives, and driving continuous improvement. 8+ years of relevant experience required.","Android Developer we are looking for a android developer to join our growing team. the ideal candidate has hands-on experience with firebase, kotlin, rest api, git, material design, mvvm, android sdk, jetpack compose and can work independently on android sdk-driven projects. responsibilities include collaborating with cross-functional teams, contributing to jetpack compose initiatives, and driving continuous improvement. 8+ years of relevant experience required. Firebase Kotlin REST API Git Material Design MVVM Android SDK Jetpack Compose",4
JOB00423,Structural Engineer,Civil Engineer,"Downs, Morris and Maddox",Pune,Construction Management; Structural Analysis; Revit; Project Management,1-4 years,4-6,"Exciting opportunity for a Structural Engineer at Downs, Morris and Maddox. Must be proficient in Construction Management, Structural Analysis, Revit, Project Management, with practical exposure to Structural Analysis and Revit. You'll work in an agile environment solving real business problems. 1+ years experience preferred.","['Construction Management', 'Structural Analysis', 'Revit', 'Project Management']",Construction Management Structural Analysis Revit Project Management,1.0,4.0,2.5,4.0,6.0,5.0,"exciting opportunity for a structural engineer at downs, morris and maddox. must be proficient in construction management, structural analysis, revit, project management, with practical exposure to structural analysis and revit. you'll work in an agile environment solving real business problems. 1+ years experience preferred.","Structural Engineer exciting opportunity for a structural engineer at downs, morris and maddox. must be proficient in construction management, structural analysis, revit, project management, with practical exposure to structural analysis and revit. you'll work in an agile environment solving real business problems. 1+ years experience preferred. Construction Management Structural Analysis Revit Project Management",11
JOB00054,Full Stack Developer,Web Development,"Robinson, Jones and Welch",Noida,React; Responsive Design; Express.js; HTML; REST API; CSS,3-6 years,18-20,"We are looking for a Full Stack Developer to join our growing team. The ideal candidate has hands-on experience with React, Responsive Design, Express.js, HTML, REST API, CSS and can work independently on REST API-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Express.js initiatives, and driving continuous improvement. 3+ years of relevant experience required.","['React', 'Responsive Design', 'Express.js', 'HTML', 'REST API', 'CSS']",React Responsive Design Express.js HTML REST API CSS,3.0,6.0,4.5,18.0,20.0,19.0,"we are looking for a full stack developer to join our growing team. the ideal candidate has hands-on experience with react, responsive design, express.js, html, rest api, css and can work independently on rest api-driven projects. responsibilities include collaborating with cross-functional teams, contributing to express.js initiatives, and driving continuous improvement. 3+ years of relevant experience required.","Full Stack Developer we are looking for a full stack developer to join our growing team. the ideal candidate has hands-on experience with react, responsive design, express.js, html, rest api, css and can work independently on rest api-driven projects. responsibilities include collaborating with cross-functional teams, contributing to express.js initiatives, and driving continuous improvement. 3+ years of relevant experience required. React Responsive Design Express.js HTML REST API CSS",2
JOB00023,Machine Learning Engineer,Data Science,Perez Inc,Remote,TensorFlow; Data Visualization; NumPy; SQL; Excel; Machine Learning; A/B Testing,7-10 years,5-10,"Perez Inc is hiring a Machine Learning Engineer for our Remote office. You will use TensorFlow, Data Visualization, NumPy, SQL, Excel, Machine Learning, A/B Testing daily and help scale our NumPy capabilities. We value strong fundamentals in Excel and a collaborative mindset. Minimum 7 years of experience in a similar role.","['TensorFlow', 'Data Visualization', 'NumPy', 'SQL', 'Excel', 'Machine Learning', 'A/B Testing']",TensorFlow Data Visualization NumPy SQL Excel Machine Learning A/B Testing,7.0,10.0,8.5,5.0,10.0,7.5,"perez inc is hiring a machine learning engineer for our remote office. you will use tensorflow, data visualization, numpy, sql, excel, machine learning, a/b testing daily and help scale our numpy capabilities. we value strong fundamentals in excel and a collaborative mindset. minimum 7 years of experience in a similar role.","Machine Learning Engineer perez inc is hiring a machine learning engineer for our remote office. you will use tensorflow, data visualization, numpy, sql, excel, machine learning, a/b testing daily and help scale our numpy capabilities. we value strong fundamentals in excel and a collaborative mindset. minimum 7 years of experience in a similar role. TensorFlow Data Visualization NumPy SQL Excel Machine Learning A/B Testing",13
JOB00184,Site Reliability Engineer,DevOps Engineer,"Higgins, Strickland and Martin",Mumbai,AWS; Linux; Docker; Ansible; Shell Scripting; Terraform,0-3 years,13-19,"Exciting opportunity for a Site Reliability Engineer at Higgins, Strickland and Martin. Must be proficient in AWS, Linux, Docker, Ansible, Shell Scripting, Terraform, with practical exposure to AWS and Ansible. You'll work in an agile environment solving real business problems. 0+ years experience preferred.","['AWS', 'Linux', 'Docker', 'Ansible', 'Shell Scripting', 'Terraform']",AWS Linux Docker Ansible Shell Scripting Terraform,0.0,3.0,1.5,13.0,19.0,16.0,"exciting opportunity for a site reliability engineer at higgins, strickland and martin. must be proficient in aws, linux, docker, ansible, shell scripting, terraform, with practical exposure to aws and ansible. you'll work in an agile environment solving real business problems. 0+ years experience preferred.","Site Reliability Engineer exciting opportunity for a site reliability engineer at higgins, strickland and martin. must be proficient in aws, linux, docker, ansible, shell scripting, terraform, with practical exposure to aws and ansible. you'll work in an agile environment solving real business problems. 0+ years experience preferred. AWS Linux Docker Ansible Shell Scripting Terraform",10
JOB00216,Cybersecurity Analyst,Network Security Engineer,"Carlson, Hooper and Wall",Chennai,Firewalls; Penetration Testing; Network Protocols; Linux; Cryptography; Python; IDS/IPS,8-11 years,7-15,"Exciting opportunity for a Cybersecurity Analyst at Carlson, Hooper and Wall. Must be proficient in Firewalls, Penetration Testing, Network Protocols, Linux, Cryptography, Python, IDS/IPS, with practical exposure to IDS/IPS and Python. You'll work in an agile environment solving real business problems. 8+ years experience preferred.","['Firewalls', 'Penetration Testing', 'Network Protocols', 'Linux', 'Cryptography', 'Python', 'IDS/IPS']",Firewalls Penetration Testing Network Protocols Linux Cryptography Python IDS/IPS,8.0,11.0,9.5,7.0,15.0,11.0,"exciting opportunity for a cybersecurity analyst at carlson, hooper and wall. must be proficient in firewalls, penetration testing, network protocols, linux, cryptography, python, ids/ips, with practical exposure to ids/ips and python. you'll work in an agile environment solving real business problems. 8+ years experience preferred.","Cybersecurity Analyst exciting opportunity for a cybersecurity analyst at carlson, hooper and wall. must be proficient in firewalls, penetration testing, network protocols, linux, cryptography, python, ids/ips, with practical exposure to ids/ips and python. you'll work in an agile environment solving real business problems. 8+ years experience preferred. Firewalls Penetration Testing Network Protocols Linux Cryptography Python IDS/IPS",14
JOB00147,Python Developer,Python Developer,Robinson-Brock,Kolkata,Pandas; Git; Flask; Unit Testing; Celery; Python,5-8 years,16-25,"We are looking for a Python Developer to join our growing team. The ideal candidate has hands-on experience with Pandas, Git, Flask, Unit Testing, Celery, Python and can work independently on Celery-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Git initiatives, and driving continuous improvement. 5+ years of relevant experience required.","['Pandas', 'Git', 'Flask', 'Unit Testing', 'Celery', 'Python']",Pandas Git Flask Unit Testing Celery Python,5.0,8.0,6.5,16.0,25.0,20.5,"we are looking for a python developer to join our growing team. the ideal candidate has hands-on experience with pandas, git, flask, unit testing, celery, python and can work independently on celery-driven projects. responsibilities include collaborating with cross-functional teams, contributing to git initiatives, and driving continuous improvement. 5+ years of relevant experience required.","Python Developer we are looking for a python developer to join our growing team. the ideal candidate has hands-on experience with pandas, git, flask, unit testing, celery, python and can work independently on celery-driven projects. responsibilities include collaborating with cross-functional teams, contributing to git initiatives, and driving continuous improvement. 5+ years of relevant experience required. Pandas Git Flask Unit Testing Celery Python",7
JOB00446,Structural Engineer,Civil Engineer,"Osborn, Gaines and Davis",Noida,Construction Management; Surveying; Revit; Structural Analysis; Cost Estimation; AutoCAD,7-10 years,6-10,"Osborn, Gaines and Davis is hiring a Structural Engineer for our Noida office. You will use Construction Management, Surveying, Revit, Structural Analysis, Cost Estimation, AutoCAD daily and help scale our Revit capabilities. We value strong fundamentals in Construction Management and a collaborative mindset. Minimum 7 years of experience in a similar role.","['Construction Management', 'Surveying', 'Revit', 'Structural Analysis', 'Cost Estimation', 'AutoCAD']",Construction Management Surveying Revit Structural Analysis Cost Estimation AutoCAD,7.0,10.0,8.5,6.0,10.0,8.0,"osborn, gaines and davis is hiring a structural engineer for our noida office. you will use construction management, surveying, revit, structural analysis, cost estimation, autocad daily and help scale our revit capabilities. we value strong fundamentals in construction management and a collaborative mindset. minimum 7 years of experience in a similar role.","Structural Engineer osborn, gaines and davis is hiring a structural engineer for our noida office. you will use construction management, surveying, revit, structural analysis, cost estimation, autocad daily and help scale our revit capabilities. we value strong fundamentals in construction management and a collaborative mindset. minimum 7 years of experience in a similar role. Construction Management Surveying Revit Structural Analysis Cost Estimation AutoCAD",11
JOB00249,Business Analyst,Business Analyst,Johnston-Hines,Noida,Communication; Excel; Data Visualization; Agile; Process Improvement; Power BI,2-5 years,14-24,"We are looking for a Business Analyst to join our growing team. The ideal candidate has hands-on experience with Communication, Excel, Data Visualization, Agile, Process Improvement, Power BI and can work independently on Communication-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Process Improvement initiatives, and driving continuous improvement. 2+ years of relevant experience required.","['Communication', 'Excel', 'Data Visualization', 'Agile', 'Process Improvement', 'Power BI']",Communication Excel Data Visualization Agile Process Improvement Power BI,2.0,5.0,3.5,14.0,24.0,19.0,"we are looking for a business analyst to join our growing team. the ideal candidate has hands-on experience with communication, excel, data visualization, agile, process improvement, power bi and can work independently on communication-driven projects. responsibilities include collaborating with cross-functional teams, contributing to process improvement initiatives, and driving continuous improvement. 2+ years of relevant experience required.","Business Analyst we are looking for a business analyst to join our growing team. the ideal candidate has hands-on experience with communication, excel, data visualization, agile, process improvement, power bi and can work independently on communication-driven projects. responsibilities include collaborating with cross-functional teams, contributing to process improvement initiatives, and driving continuous improvement. 2+ years of relevant experience required. Communication Excel Data Visualization Agile Process Improvement Power BI",9
JOB00273,Business Analyst,Business Analyst,Morgan-French,Chennai,Process Improvement; Requirements Gathering; Data Visualization; Power BI; Stakeholder Management; Communication,3-6 years,10-20,"Morgan-French is hiring a Business Analyst for our Chennai office. You will use Process Improvement, Requirements Gathering, Data Visualization, Power BI, Stakeholder Management, Communication daily and help scale our Data Visualization capabilities. We value strong fundamentals in Communication and a collaborative mindset. Minimum 3 years of experience in a similar role.","['Process Improvement', 'Requirements Gathering', 'Data Visualization', 'Power BI', 'Stakeholder Management', 'Communication']",Process Improvement Requirements Gathering Data Visualization Power BI Stakeholder Management Communication,3.0,6.0,4.5,10.0,20.0,15.0,"morgan-french is hiring a business analyst for our chennai office. you will use process improvement, requirements gathering, data visualization, power bi, stakeholder management, communication daily and help scale our data visualization capabilities. we value strong fundamentals in communication and a collaborative mindset. minimum 3 years of experience in a similar role.","Business Analyst morgan-french is hiring a business analyst for our chennai office. you will use process improvement, requirements gathering, data visualization, power bi, stakeholder management, communication daily and help scale our data visualization capabilities. we value strong fundamentals in communication and a collaborative mindset. minimum 3 years of experience in a similar role. Process Improvement Requirements Gathering Data Visualization Power BI Stakeholder Management Communication",9
JOB00314,Marketing Analyst,Digital Marketing,Byrd-Le,Mumbai,Content Marketing; Social Media; PPC; Copywriting; Excel; Email Marketing; SEO; Communication,6-9 years,10-12,"Byrd-Le is hiring a Marketing Analyst for our Mumbai office. You will use Content Marketing, Social Media, PPC, Copywriting, Excel, Email Marketing, SEO, Communication daily and help scale our Copywriting capabilities. We value strong fundamentals in Social Media and a collaborative mindset. Minimum 6 years of experience in a similar role.","['Content Marketing', 'Social Media', 'PPC', 'Copywriting', 'Excel', 'Email Marketing', 'SEO', 'Communication']",Content Marketing Social Media PPC Copywriting Excel Email Marketing SEO Communication,6.0,9.0,7.5,10.0,12.0,11.0,"byrd-le is hiring a marketing analyst for our mumbai office. you will use content marketing, social media, ppc, copywriting, excel, email marketing, seo, communication daily and help scale our copywriting capabilities. we value strong fundamentals in social media and a collaborative mindset. minimum 6 years of experience in a similar role.","Marketing Analyst byrd-le is hiring a marketing analyst for our mumbai office. you will use content marketing, social media, ppc, copywriting, excel, email marketing, seo, communication daily and help scale our copywriting capabilities. we value strong fundamentals in social media and a collaborative mindset. minimum 6 years of experience in a similar role. Content Marketing Social Media PPC Copywriting Excel Email Marketing SEO Communication",6
